Recall,NFS,SU,MacroF1,Acc
-0.99975962,0.43181818,-0.77603729,-0.99968393,-0.99970203
\,n
-0.99912738,0.56818182,-0.91627277,-0.99905179,-0.99910608
-0.99936777,0.56818182,-0.91627277,-0.99936777,-0.99940405
-1.,0.20454545,-0.40931904,-1.,-1.
-0.99960815,0.51515152,-0.87424999,-0.99968384,-0.99970203
-1.,0.18181818,-0.37582947,-1.,-1.
-0.99638443,0.42424242,-0.76376654,-0.99683594,-0.99702026
-0.9965359,0.36363636,-0.66984478,-0.99683691,-0.99702026
-0.99903846,0.52272727,-0.89819604,-0.9987363,-0.9988081
-0.99975962,0.43181818,-0.77521347,-0.99968393,-0.99970203
-0.99801438,0.40909091,-0.73990353,-0.99778818,-0.99791418
-1.,0.5,-0.85279771,-1.,-1.
-0.99975962,0.38636364,-0.70487348,-0.99968393,-0.99970203
-0.99936777,0.49242424,-0.86336104,-0.99936777,-0.99940405
-0.99975962,0.4469697,-0.79824873,-0.99968393,-0.99970203
-0.99951923,0.50757576,-0.87431326,-0.99936796,-0.99940405
-0.99903846,0.5,-0.87419159,-0.9987363,-0.9988081
-0.99951923,0.50757576,-0.8852747,-0.99936796,-0.99940405
-0.99605513,0.43181818,-0.77490261,-0.99620544,-0.99642431
-0.99831731,0.5530303,-0.91079051,-0.99778951,-0.99791418
-1.,0.26515152,-0.51486463,-1.,-1.
-1.,0.29545455,-0.56392969,-1.,-1.
-1.,0.25757576,-0.50266526,-1.,-1.
-1.,0.27272727,-0.52824126,-1.,-1.
-1.,0.31060606,-0.58787567,-1.,-1.
-0.99903846,0.45454545,-0.80887237,-0.9987363,-0.9988081
-1.,0.3030303,-0.57567801,-1.,-1.
-1.,0.23484848,-0.46670325,-1.,-1.
-0.99951923,0.5,-0.87428913,-0.99936796,-0.99940405
-1.,0.37878788,-0.69316973,-1.,-1.
-1.,0.31818182,-0.60012425,-1.,-1.
-1.,0.37121212,-0.68147133,-1.,-1.
-1.,0.25,-0.48987194,-1.,-1.
-1.,0.18939394,-0.38743711,-1.,-1.
-1.,0.28030303,-0.53954875,-1.,-1.
-1.,0.1969697,-0.39851349,-1.,-1.
-0.99840623,0.42424242,-0.76366261,-0.99810444,-0.99821216
-0.99879808,0.53787879,-0.90752866,-0.99842061,-0.99851013
-1.,0.21212121,-0.43111273,-1.,-1.
-0.99912738,0.52272727,-0.90084309,-0.99905179,-0.99910608
-0.99951923,0.46212121,-0.82002153,-0.99936796,-0.99940405
-0.99879808,0.53787879,-0.90677488,-0.99842061,-0.99851013
-0.99855769,0.46212121,-0.81966236,-0.99810501,-0.99821216
-1.,0.28787879,-0.55043881,-1.,-1.
-1.,0.22727273,-0.45592893,-1.,-1.
-1.,0.21969697,-0.44267611,-1.,-1.
-1.,0.24242424,-0.47950353,-1.,-1.
-1.,0.34848485,-0.64636237,-1.,-1.
-1.,0.34090909,-0.63446576,-1.,-1.
-1.,0.35606061,-0.65802497,-1.,-1.
-1.,0.40151515,-0.72816226,-1.,-1.
-1.,0.39393939,-0.71660587,-1.,-1.
-1.,0.41666667,-0.75163415,-1.,-1.
-1.,0.32575758,-0.61127239,-1.,-1.
-1.,0.33333333,-0.62297845,-1.,-1.
-1.,0.38636364,-0.70487126,-1.,-1.
-1.,0.34848485,-0.64636237,-1.,-1.
-1.,0.35606061,-0.65802497,-1.,-1.
-1.,0.21212121,-0.43111273,-1.,-1.
-1.,0.21969697,-0.44267611,-1.,-1.
-1.,0.39393939,-0.71660587,-1.,-1.
-1.,0.34090909,-0.63446576,-1.,-1.
-1.,0.33333333,-0.62297845,-1.,-1.
-1.,0.41666667,-0.75163415,-1.,-1.
-0.99975962,0.40151515,-0.72834267,-0.99968393,-0.99970203
-1.,0.32575758,-0.61127239,-1.,-1.
-1.,0.49242424,-0.84181214,-1.,-1.
-1.,0.28787879,-0.55043881,-1.,-1.
-1.,0.22727273,-0.45592893,-1.,-1.
-1.,0.46212121,-0.81866669,-1.,-1.
-1.,0.24242424,-0.47950353,-1.,-1.
-0.99936777,0.51515152,-0.89688802,-0.99936777,-0.99940405
-0.99840623,0.48484848,-0.85321676,-0.99810444,-0.99821216
-1.,0.4469697,-0.7927315,-1.,-1.
-0.99903846,0.43939394,-0.78650881,-0.9987363,-0.9988081
-0.99960815,0.50757576,-0.86250167,-0.99968384,-0.99970203
-1.,0.47727273,-0.83144464,-1.,-1.
