Recall,NFS,SU,MacroF1,Acc
-0.99855769,0.46969697,-0.82118113,-0.99810501,-0.99821216
-0.99801438,0.43181818,-0.77031168,-0.99778818,-0.99791418
-0.99744469,0.46212121,-0.80936132,-0.99684264,-0.99702026
-1.,0.34090909,-0.63420525,-1.,-1.
-0.99840623,0.51515152,-0.85278238,-0.99810444,-0.99821216
-1.,0.42424242,-0.75545879,-1.,-1.
-1.,0.21969697,-0.44144537,-1.,-1.
-0.99801438,0.34090909,-0.63421554,-0.99778818,-0.99791418
-0.99801438,0.21969697,-0.44310406,-0.99778818,-0.99791418
-0.99927885,0.42424242,-0.75778434,-0.99905208,-0.99910608
-0.99801438,0.21969697,-0.44310406,-0.99778818,-0.99791418
-1.,0.18181818,-0.38224634,-1.,-1.
-1.,0.21969697,-0.44144537,-1.,-1.
-1.,0.35606061,-0.65815006,-1.,-1.
-0.99801438,0.33333333,-0.62281629,-0.99778818,-0.99791418
-0.99840623,0.46212121,-0.80857661,-0.99810444,-0.99821216
-1.,0.40151515,-0.72476738,-1.,-1.
-0.99801438,0.43939394,-0.78048239,-0.99778818,-0.99791418
-0.99840623,0.51515152,-0.85278238,-0.99810444,-0.99821216
-1.,0.25,-0.49286443,-1.,-1.
-0.99879808,0.43181818,-0.76616028,-0.99842061,-0.99851013
-0.99873553,0.16666667,-0.33764337,-0.99873553,-0.9988081
-1.,0.28787879,-0.55169018,-1.,-1.
-0.99801438,0.34848485,-0.64648961,-0.99778818,-0.99791418
-0.99801438,0.21969697,-0.44310406,-0.99778818,-0.99791418
-0.99825476,0.15909091,-0.32851046,-0.99810387,-0.99821216
-0.99912738,0.16666667,-0.33564591,-0.99905179,-0.99910608
-0.99840623,0.38636364,-0.70001509,-0.99810444,-0.99821216
-1.,0.28787879,-0.55169018,-1.,-1.
-1.,0.40151515,-0.72476738,-1.,-1.
-0.99879808,0.46212121,-0.80857661,-0.99842061,-0.99851013
-0.99801438,0.43181818,-0.77031168,-0.99778818,-0.99791418
-1.,0.25,-0.49286443,-1.,-1.
-1.,0.18939394,-0.39394059,-1.,-1.
-0.99801438,0.34848485,-0.64648961,-0.99778818,-0.99791418
-1.,0.37878788,-0.69073079,-1.,-1.
-1.,0.21969697,-0.44144537,-1.,-1.
-0.99960815,0.45454545,-0.79682829,-0.99968384,-0.99970203
-0.99801438,0.21969697,-0.44310406,-0.99778818,-0.99791418
-0.99801438,0.43181818,-0.77031168,-0.99778818,-0.99791418
-1.,0.28787879,-0.55169018,-1.,-1.
-1.,0.40909091,-0.7349384,-1.,-1.
-0.99960815,0.21212121,-0.43118895,-0.99968384,-0.99970203
-0.99960815,0.15909091,-0.32576314,-0.99968384,-0.99970203
-0.99975962,0.45454545,-0.80117085,-0.99968393,-0.99970203
-0.99879808,0.5,-0.82915383,-0.99842061,-0.99851013
-0.99801438,0.34090909,-0.63421554,-0.99778818,-0.99791418
-1.,0.3030303,-0.57562165,-1.,-1.
-0.99801438,0.21969697,-0.44310406,-0.99778818,-0.99791418
-0.99879808,0.43939394,-0.77909247,-0.99842061,-0.99851013
-0.99879808,0.51515152,-0.85278238,-0.99842061,-0.99851013
-1.,0.35606061,-0.65815006,-1.,-1.
-0.99801438,0.43181818,-0.77031168,-0.99778818,-0.99791418
-1.,0.26515152,-0.51301727,-1.,-1.
-0.99960815,0.15151515,-0.3138829,-0.99968384,-0.99970203
-0.99801438,0.21969697,-0.44310406,-0.99778818,-0.99791418
-0.99801438,0.34090909,-0.63421554,-0.99778818,-0.99791418
-0.99960815,0.15151515,-0.3138829,-0.99968384,-0.99970203
-0.99879808,0.40151515,-0.72476738,-0.99842061,-0.99851013
-1.,0.27272727,-0.52869391,-1.,-1.
-1.,0.32575758,-0.61107637,-1.,-1.
-0.99801438,0.43939394,-0.78048239,-0.99778818,-0.99791418
-1.,0.4469697,-0.78805591,-1.,-1.
-0.99801438,0.21969697,-0.44310406,-0.99778818,-0.99791418
-0.99801438,0.34090909,-0.63421554,-0.99778818,-0.99791418
-0.99879808,0.50757576,-0.84261167,-0.99842061,-0.99851013
-1.,0.33333333,-0.6225608,-1.,-1.
-0.99801438,0.40151515,-0.72641542,-0.99778818,-0.99791418
-0.99801438,0.43181818,-0.77031168,-0.99778818,-0.99791418
-1.,0.21212121,-0.43118895,-1.,-1.
-0.99801438,0.21969697,-0.44310406,-0.99778818,-0.99791418
-0.99879808,0.40151515,-0.72476738,-0.99842061,-0.99851013
-0.99960815,0.15909091,-0.32576314,-0.99968384,-0.99970203
-0.99801438,0.21969697,-0.44310406,-0.99778818,-0.99791418
-0.99960815,0.46212121,-0.80857661,-0.99968384,-0.99970203
-0.99879808,0.40151515,-0.72476738,-0.99842061,-0.99851013
-1.,0.21969697,-0.44144537,-1.,-1.
-1.,0.1969697,-0.40570112,-1.,-1.
\,n
-1.,0.34848485,-0.64617252,-1.,-1.
-0.99557436,0.34848485,-0.64631363,-0.99557436,-0.99582837
-0.99960815,0.18181818,-0.35914725,-0.99968384,-0.99970203
-0.99873553,0.1969697,-0.38385807,-0.99873553,-0.9988081
-0.99975962,0.54545455,-0.86991401,-0.99968393,-0.99970203
-1.,0.4469697,-0.7870876,-1.,-1.
-1.,0.26515152,-0.51717885,-1.,-1.
-0.99840623,0.43181818,-0.77147634,-0.99810444,-0.99821216
-0.99936777,0.17424242,-0.34311701,-0.99936777,-0.99940405
-0.99975962,0.43939394,-0.78111871,-0.99968393,-0.99970203
-0.99975962,0.52272727,-0.86664324,-0.99968393,-0.99970203
-0.99840623,0.41666667,-0.74807965,-0.99810444,-0.99821216
-0.99879808,0.56060606,-0.87842722,-0.99842061,-0.99851013
-0.99855769,0.40909091,-0.73707348,-0.99810501,-0.99821216
-0.99936777,0.54545455,-0.86991401,-0.99936777,-0.99940405
-0.99903846,0.50757576,-0.85497265,-0.9987363,-0.9988081
-1.,0.21212121,-0.41941889,-1.,-1.
-0.99677628,0.32575758,-0.61128694,-0.99715278,-0.99731824
-0.99951923,0.43939394,-0.78111871,-0.99936796,-0.99940405
-1.,0.27272727,-0.52930194,-1.,-1.
-1.,0.34090909,-0.63429229,-1.,-1.
-0.99879808,0.5,-0.84390606,-0.99842061,-0.99851013
-0.99879808,0.46212121,-0.8087134,-0.99842061,-0.99851013
-1.,0.27272727,-0.52930194,-1.,-1.
-0.99840623,0.45454545,-0.79871454,-0.99810444,-0.99821216
-0.99951923,0.54545455,-0.86991401,-0.99936796,-0.99940405
-0.99975962,0.45454545,-0.79977006,-0.99968393,-0.99970203
-0.99840623,0.45454545,-0.79762482,-0.99810444,-0.99821216
-0.99638443,0.36363636,-0.66970642,-0.99683594,-0.99702026
-1.,0.21212121,-0.41941889,-1.,-1.
-0.99960815,0.46969697,-0.82030457,-0.99968384,-0.99970203
-0.99975962,0.48484848,-0.84191155,-0.99968393,-0.99970203
-1.,0.37121212,-0.67971805,-1.,-1.
-0.99960815,0.18181818,-0.35660778,-0.99968384,-0.99970203
-0.99840623,0.49242424,-0.85297262,-0.99810444,-0.99821216
-0.99960815,0.53787879,-0.85569333,-0.99968384,-0.99970203
-1.,0.43939394,-0.77603779,-1.,-1.
-0.99951923,0.54545455,-0.86991401,-0.99936796,-0.99940405
-1.,0.3030303,-0.57630558,-1.,-1.
-0.9965359,0.33333333,-0.62316717,-0.99683691,-0.99702026
-1.,0.34848485,-0.64617252,-1.,-1.
-1.,0.24242424,-0.47857417,-1.,-1.
-1.,0.35606061,-0.65792084,-1.,-1.
-0.99975962,0.46212121,-0.8090699,-0.99968393,-0.99970203
-1.,0.20454545,-0.41464959,-1.,-1.
-0.99960815,0.53787879,-0.85569333,-0.99968384,-0.99970203
-0.99951923,0.38636364,-0.70345025,-0.99936796,-0.99940405
-0.99960815,0.46212121,-0.8087134,-0.99968384,-0.99970203
-0.99801438,0.51515152,-0.86458796,-0.99778818,-0.99791418
-0.99677628,0.36363636,-0.66957332,-0.99715278,-0.99731824
-0.99960815,0.46212121,-0.8087134,-0.99968384,-0.99970203
-1.,0.3030303,-0.57630558,-1.,-1.
-0.99879808,0.53787879,-0.85569333,-0.99842061,-0.99851013
-1.,0.31818182,-0.59961454,-1.,-1.
-0.99936777,0.18181818,-0.35668904,-0.99936777,-0.99940405
-0.99879808,0.4469697,-0.78490281,-0.99842061,-0.99851013
-0.99951923,0.53787879,-0.86991401,-0.99936796,-0.99940405
-1.,0.21212121,-0.41941889,-1.,-1.
-1.,0.36363636,-0.66883523,-1.,-1.
-0.99557436,0.33333333,-0.62316717,-0.99557436,-0.99582837
-0.99879808,0.50757576,-0.85494558,-0.99842061,-0.99851013
-1.,0.22727273,-0.45509398,-1.,-1.
-1.,0.23484848,-0.46681073,-1.,-1.
-1.,0.36363636,-0.66883523,-1.,-1.
-0.99975962,0.50757576,-0.85497265,-0.99968393,-0.99970203
-0.99936777,0.18939394,-0.37150606,-0.99936777,-0.99940405
-0.99960815,0.50757576,-0.85494558,-0.99968384,-0.99970203
-0.99879808,0.43939394,-0.77603779,-0.99842061,-0.99851013
-0.99975962,0.40909091,-0.736618,-0.99968393,-0.99970203
-0.99936777,0.18181818,-0.35660778,-0.99936777,-0.99940405
-0.99840623,0.53787879,-0.85569333,-0.99810444,-0.99821216
-0.99879808,0.46212121,-0.8087134,-0.99842061,-0.99851013
-0.99855769,0.52272727,-0.86664324,-0.99810501,-0.99821216
-0.99975962,0.40151515,-0.72580701,-0.99968393,-0.99970203
-1.,0.22727273,-0.45509398,-1.,-1.
