Recall;NFS;MI;MacroF1
-1;0.257575758;-0.498772256;-1
-1;0.477272727;-0.804751268;-0.999557151
-0.998351648;0.348484848;-0.647201534;-0.998450194
-0.999451153;0.492424242;-0.822229951;-0.999778646
-0.998902907;0.295454545;-0.561703747;-0.999557339
-0.998902305;0.363636364;-0.6634762;-0.999335939
-0.999450851;0.606060606;-0.881364952;-0.999557245
-1;0.227272727;-0.446933807;-1
-0.997805815;0.363636364;-0.673392005;-0.998672018
-0.999450851;0.477272727;-0.831688984;-0.999557245
-0.99780461;0.46969697;-0.817733527;-0.998450523
-0.997808219;0.325757576;-0.613086134;-0.999114867
-1;0.310606061;-0.587762943;-1
-0.999451153;0.318181818;-0.599142139;-0.999778646
-0.998901702;0.356060606;-0.661975711;-0.999114491
-1;0.439393939;-0.777118542;-0.999557151
-1;0.212121212;-0.426516868;-1
-1;0.522727273;-0.783362332;-1
-0.998355263;0.378787879;-0.694306721;-0.99933608
-1;0.333333333;-0.621823936;-1
-0.998901099;0.393939394;-0.719672952;-0.998892995
-0.999450851;0.424242424;-0.761369393;-0.999557245
-0.999451153;0.295454545;-0.560845621;-0.999778646
-0.998901702;0.363636364;-0.673283082;-0.999114491
-0.999450851;0.462121212;-0.817003822;-0.999557245
-1;0.21969697;-0.443742232;-1
-0.999450851;0.598484848;-0.869691534;-0.999557245
-0.999451153;0.378787879;-0.687053186;-0.999778646
-1;0.356060606;-0.657873132;-1
-0.997808219;0.356060606;-0.661186442;-0.999114867
-0.997260274;0.25;-0.489454891;-0.9986723
-1;0.386363636;-0.70454368;-1
-0.998901702;0.386363636;-0.708138229;-0.999114491
-0.998352554;0.409090909;-0.744252987;-0.998671736
\n;;;
-0.998902907;0.462121212;-0.751484962;-0.999557339
-1;0.257575758;-0.478848578;-1
-1;0.393939394;-0.686990297;-1
-1;0.340909091;-0.612479735;-0.999557151
-1;0.507575758;-0.764268723;-1
-0.998354361;0.46969697;-0.796367311;-0.999114679
-0.998902907;0.287878788;-0.526601224;-0.999557339
-1;0.462121212;-0.732694439;-1
-0.999451153;0.484848485;-0.764350302;-0.999778646
-0.998902907;0.386363636;-0.678344655;-0.999557339
-1;0.492424242;-0.802783622;-0.999114113
-0.998901099;0.484848485;-0.800165742;-0.998892995
-1;0.454545455;-0.762727436;-0.999557151
-0.997808219;0.318181818;-0.57829338;-0.999114867
-0.999450851;0.431818182;-0.754077164;-0.999557245
-0.997808219;0.401515152;-0.706740515;-0.999114867
-1;0.204545455;-0.384757744;-1
-0.996715928;0.439393939;-0.76206338;-0.998672581
-1;0.575757576;-0.823387388;-0.999557151
-0.998902305;0.560606061;-0.844683125;-0.999335939
-0.999449945;0.454545455;-0.778310736;-0.998892759
-0.999450851;0.371212121;-0.658163996;-0.999557245
-0.999451153;0.340909091;-0.606063425;-0.999778646
-0.997261774;0.363636364;-0.647172931;-0.9988937
-0.999450851;0.583333333;-0.84464459;-0.999557245
-1;0.303030303;-0.538837667;-1
-1;0.537878788;-0.839129383;-0.999114113
-0.999450851;0.303030303;-0.552395451;-0.999557245
-0.999451153;0.393939394;-0.691667414;-0.999778646
-0.999451153;0.272727273;-0.497508131;-0.999778646
-1;0.348484848;-0.618571757;-1
-0.997261774;0.492424242;-0.804825695;-0.9988937
-0.999450851;0.325757576;-0.590853446;-0.999557245
-0.998902305;0.424242424;-0.740859983;-0.999335939
-1;0.227272727;-0.42693658;-1
-1;0.265151515;-0.490897906;-1
-0.998902907;0.416666667;-0.721431078;-0.999557339
-1;0.416666667;-0.720802181;-1
-1;0.325757576;-0.586928464;-1
-1;0.515151515;-0.776311545;-0.999557151
-0.997261774;0.378787879;-0.669171955;-0.9988937
-1;0.5;-0.814970803;-0.999335656
-0.998902907;0.28030303;-0.523066122;-0.999557339
-0.997808219;0.287878788;-0.530318752;-0.999114867
-1;0.340909091;-0.594716931;-1
-0.999451153;0.386363636;-0.678329792;-0.999778646
-0.999451153;0.303030303;-0.552216125;-0.999778646
-0.999451153;0.333333333;-0.59458178;-0.999778646
-1;0.568181818;-0.79867057;-0.999557151
