Recall;NFS;MI;MacroF1
-0.998352554;0.393939394;-0.71369412;-0.998671736
-0.996714129;0.46969697;-0.806621581;-0.998451181
-0.998352554;0.462121212;-0.793528555;-0.998671736
-0.998902305;0.439393939;-0.763518614;-0.999335939
-1;0.446969697;-0.758096371;-1
-0.998352554;0.303030303;-0.559251096;-0.998671736
-0.999451153;0.348484848;-0.630186222;-0.999778646
-0.997255763;0.340909091;-0.632612814;-0.998007816
-0.997808219;0.340909091;-0.620251886;-0.999114867
-0.998352554;0.340909091;-0.619323516;-0.998671736
-1;0.318181818;-0.581748133;-1
-0.996714129;0.484848485;-0.822810109;-0.998451181
-0.999451153;0.378787879;-0.674018589;-0.999778646
-1;0.303030303;-0.558730892;-1
-0.998355263;0.409090909;-0.716047258;-0.99933608
-0.998352554;0.409090909;-0.737729497;-0.998671736
-0.998353458;0.439393939;-0.76572354;-0.998893231
-0.998352554;0.363636364;-0.664272103;-0.998671736
-0.998901702;0.409090909;-0.734811405;-0.999114491
-0.998902305;0.386363636;-0.693243404;-0.999335939
-0.997258772;0.484848485;-0.822810109;-0.998450852
-0.998902305;0.477272727;-0.808872316;-0.999335939
-0.999451153;0.333333333;-0.606757698;-0.999778646
-1;0.378787879;-0.667315473;-1
-0.998901702;0.416666667;-0.737507514;-0.999114491
-0.998901702;0.348484848;-0.631946086;-0.999114491
\n;;;
-0.993992354;0.21969697;-0.359950019;-0.997346283
-0.996164384;0.606060606;-0.911374297;-0.997787167
-1;0.287878788;-0.542412339;-1
-1;0.439393939;-0.740558411;-1
-0.999451153;0.234848485;-0.443534583;-0.999778646
-0.995618839;0.227272727;-0.411296136;-0.997566141
-0.996166484;0.227272727;-0.397513029;-0.998008661
-1;0.242424242;-0.456444541;-1
-0.999451153;0.227272727;-0.369739596;-0.999778646
-0.998352554;0.265151515;-0.509842567;-0.998671736
-0.998353458;0.583333333;-0.881445308;-0.998893231
-0.998901702;0.575757576;-0.870401647;-0.999114491
-1;0.340909091;-0.618269099;-1
-1;0.265151515;-0.492778218;-1
-0.996164384;0.598484848;-0.903709436;-0.997787167
-1;0.25;-0.470924582;-1
-0.998901702;0.310606061;-0.582060517;-0.999114491
-0.998902907;0.393939394;-0.702635547;-0.999557339
-0.998902305;0.462121212;-0.790605392;-0.999335939
-0.99780461;0.356060606;-0.657851081;-0.998450523
-0.998353458;0.303030303;-0.570358429;-0.998893231
-0.996164384;0.553030303;-0.895132598;-0.997787167
-1;0.257575758;-0.482492416;-1
-0.996714129;0.507575758;-0.853304984;-0.998451181
-1;0.568181818;-0.845621549;-0.999335656
-1;0.272727273;-0.506824944;-1
-0.999451153;0.242424242;-0.482639228;-0.999778646
-0.999450851;0.333333333;-0.610701374;-0.999557245
-0.996714129;0.431818182;-0.765132397;-0.998451181
-1;0.325757576;-0.601015317;-1
-0.998902305;0.356060606;-0.64337213;-0.999335939
-0.998902907;0.409090909;-0.709853181;-0.999557339
-0.998352554;0.477272727;-0.814278985;-0.998671736
-0.996164384;0.583333333;-0.9031488;-0.997787167
-0.999451153;0.348484848;-0.636811731;-0.999778646
-0.999451153;0.272727273;-0.525896026;-0.999778646
-0.996708722;0.545454545;-0.88343051;-0.997786697
-1;0.462121212;-0.773215682;-1
-0.999450549;0.46969697;-0.801649054;-0.999335797
-0.997261774;0.378787879;-0.676243399;-0.9988937
-0.998902305;0.409090909;-0.729670477;-0.999335939
-0.99780461;0.272727273;-0.531325631;-0.998450523
-0.997261774;0.553030303;-0.891126671;-0.9988937
-0.999451153;0.295454545;-0.554770817;-0.999778646
-0.996164384;0.5;-0.856780291;-0.997787167
-1;0.393939394;-0.695305836;-1
-0.999451153;0.401515152;-0.708223736;-0.999778646
-0.996714129;0.477272727;-0.826764001;-0.998451181
-0.998901099;0.378787879;-0.670956041;-0.998892995
-1;0.318181818;-0.596274904;-1
-0.999450549;0.446969697;-0.759540266;-0.999335797
-1;0.363636364;-0.651355253;-1
-0.997261774;0.454545455;-0.775373567;-0.9988937
-0.998902305;0.295454545;-0.562069456;-0.999335939
-0.998902305;0.416666667;-0.741717235;-0.999335939
-0.999450851;0.325757576;-0.605536881;-0.999557245
-0.997258772;0.5;-0.848553446;-0.998450852
-0.998353458;0.333333333;-0.628584392;-0.998893231
-0.999451153;0.492424242;-0.809451586;-0.999778646
-0.99780461;0.310606061;-0.594431553;-0.998450523
-0.996714129;0.439393939;-0.779062547;-0.998451181
-0.998352554;0.340909091;-0.631827497;-0.998671736
-1;0.348484848;-0.634831078;-1
-0.996714129;0.484848485;-0.83464645;-0.998451181
-0.999451153;0.386363636;-0.686926767;-0.999778646
-0.999451153;0.310606061;-0.580219817;-0.999778646
-0.996715928;0.378787879;-0.67880964;-0.998672581
-0.996714129;0.46969697;-0.818289817;-0.998451181
-0.997802198;0.515151515;-0.842682184;-0.998007392
-0.998352554;0.371212121;-0.690592774;-0.998671736
-0.998353458;0.416666667;-0.747443212;-0.998893231
-0.997807018;0.28030303;-0.538837088;-0.998893466
-0.998902907;0.484848485;-0.798680205;-0.999557339
-0.99780461;0.386363636;-0.71670313;-0.998450523
-0.998354361;0.424242424;-0.750384558;-0.999114679
-0.999451153;0.363636364;-0.668540405;-0.999778646
-0.998900495;0.454545455;-0.785034081;-0.998671453
-1;0.454545455;-0.749528718;-1
-0.998352554;0.46969697;-0.809248776;-0.998671736
-0.999451153;0.303030303;-0.567664845;-0.999778646
-0.99780461;0.318181818;-0.606133641;-0.998450523
-0.999450549;0.53030303;-0.84594377;-0.999335797
-1;0.560606061;-0.840372285;-0.999557151
-0.999451153;0.431818182;-0.745926438;-0.999778646
-0.998352554;0.522727273;-0.850500342;-0.998671736
-0.998900495;0.446969697;-0.773331993;-0.998671453
-0.996164384;0.537878788;-0.871805175;-0.997787167
-0.997261774;0.545454545;-0.883084188;-0.9988937
-0.996714129;0.515151515;-0.861347466;-0.998451181
-0.998901702;0.287878788;-0.545372357;-0.999114491
-1;0.295454545;-0.554508606;-1
-0.998899285;0.462121212;-0.798110261;-0.998228226
-0.998352554;0.537878788;-0.87087735;-0.998671736
-0.998902305;0.401515152;-0.7213571;-0.999335939
-0.998902907;0.386363636;-0.691725988;-0.999557339
-0.999451153;0.265151515;-0.498883043;-0.999778646
-0.997261774;0.522727273;-0.860843991;-0.9988937
-0.998902305;0.340909091;-0.626831413;-0.999335939
-0.998352554;0.492424242;-0.825639403;-0.998671736
-0.998901702;0.409090909;-0.736477562;-0.999114491
-0.99780461;0.257575758;-0.498140479;-0.998450523
-0.998902305;0.363636364;-0.668628445;-0.999335939
-0.998354361;0.5;-0.832271133;-0.999114679
-0.998352554;0.348484848;-0.64583662;-0.998671736
-0.998902305;0.53030303;-0.84594377;-0.999335939
-0.996714129;0.462121212;-0.806664482;-0.998451181
\n;;;
-1;0.265151515;-0.516213691;-1
-1;0.257575758;-0.505959702;-1
-0.996715928;0.553030303;-0.898651044;-0.998672581
-0.99780461;0.371212121;-0.697315018;-0.998450523
-0.996714129;0.454545455;-0.822466995;-0.998451181
-0.998354361;0.568181818;-0.850227777;-0.999114679
-1;0.318181818;-0.610149171;-1
-1;0.310606061;-0.59652694;-1
-0.997261774;0.507575758;-0.876021017;-0.9988937
-0.999451153;0.265151515;-0.518761896;-0.999778646
-0.997808219;0.484848485;-0.848553051;-0.999114867
-1;0.287878788;-0.558001577;-1
-1;0.28030303;-0.543460491;-1
-1;0.295454545;-0.571374605;-1
-1;0.272727273;-0.53272131;-1
-0.999451153;0.295454545;-0.571987084;-0.999778646
-1;0.303030303;-0.584763185;-1
-0.997261774;0.492424242;-0.861196107;-0.9988937
-1;0.416666667;-0.762838928;-1
-1;0.325757576;-0.622673535;-1
-0.997261774;0.515151515;-0.888035477;-0.9988937
-1;0.333333333;-0.632670239;-1
-0.997808219;0.462121212;-0.83021289;-0.999114867
-0.999451153;0.303030303;-0.584862362;-0.999778646
-0.997261774;0.477272727;-0.851264443;-0.9988937
-0.998352554;0.340909091;-0.646690435;-0.998671736
-0.997808219;0.333333333;-0.634737962;-0.999114867
-0.999451153;0.272727273;-0.533873816;-0.999778646
-0.997261774;0.5;-0.870702313;-0.9988937
-0.996714129;0.416666667;-0.766299888;-0.998451181
-1;0.409090909;-0.75129087;-1
-1;0.393939394;-0.727807351;-1
-0.997808219;0.545454545;-0.875813898;-0.999114867
-0.997808219;0.537878788;-0.874350174;-0.999114867
-1;0.424242424;-0.772550915;-1
-1;0.454545455;-0.816268894;-1
-1;0.522727273;-0.841610492;-1
-1;0.371212121;-0.693310737;-1
-0.996714129;0.401515152;-0.743991487;-0.998451181
-0.996714129;0.492424242;-0.863897349;-0.998451181
-0.997808219;0.446969697;-0.812760754;-0.999114867
-0.998355263;0.363636364;-0.682777384;-0.99933608
-0.998902907;0.446969697;-0.810970719;-0.999557339
-1;0.348484848;-0.657981995;-1
-1;0.340909091;-0.645784849;-1
-0.998902907;0.424242424;-0.774800171;-0.999557339
-0.996714129;0.46969697;-0.838336437;-0.998451181
-1;0.356060606;-0.668458707;-1
-1;0.363636364;-0.682211633;-1
-0.996714129;0.462121212;-0.837057978;-0.998451181
-0.996714129;0.356060606;-0.671344622;-0.998451181
-0.997808219;0.409090909;-0.753538836;-0.999114867
-0.997808219;0.363636364;-0.686467391;-0.999114867
-0.99780461;0.348484848;-0.658803736;-0.998450523
-0.997808219;0.46969697;-0.834309782;-0.999114867
-1;0.431818182;-0.786814631;-1
-1;0.439393939;-0.798816758;-1
-0.997808219;0.371212121;-0.695933646;-0.999114867
-0.997808219;0.5;-0.863734608;-0.999114867
-1;0.446969697;-0.808400127;-1
-0.998902907;0.386363636;-0.717895295;-0.999557339
-0.996714129;0.424242424;-0.777624005;-0.998451181
-0.997808219;0.439393939;-0.800317824;-0.999114867
-0.998902305;0.378787879;-0.706326483;-0.999335939
-0.997261774;0.409090909;-0.754407771;-0.9988937
-0.997808219;0.431818182;-0.790063835;-0.999114867
-1;0.378787879;-0.705827469;-1
-0.999450247;0.363636364;-0.682602738;-0.999114302
-1;0.401515152;-0.738587319;-1
-1;0.386363636;-0.716356526;-1
-0.997808219;0.348484848;-0.658571626;-0.999114867
-0.996714129;0.393939394;-0.731899826;-0.998451181
-0.998353458;0.386363636;-0.72059191;-0.998893231
-0.997805815;0.378787879;-0.709364346;-0.998672018
-0.998902305;0.340909091;-0.646646028;-0.999335939
-0.997808219;0.477272727;-0.837772761;-0.999114867
-0.996714129;0.439393939;-0.800911462;-0.998451181
-0.997258772;0.393939394;-0.731977027;-0.998450852
-0.998352554;0.378787879;-0.709364346;-0.998671736
-1;0.46969697;-0.820648941;-1
-0.999451153;0.393939394;-0.729909755;-0.999778646
-0.998352554;0.431818182;-0.78953209;-0.998671736
-0.999451153;0.401515152;-0.739809479;-0.999778646
-0.997808219;0.378787879;-0.707715278;-0.999114867
-0.998901099;0.371212121;-0.694608265;-0.998892995
-0.997808219;0.401515152;-0.741565261;-0.999114867
-0.997808219;0.424242424;-0.776207097;-0.999114867
-0.999451153;0.356060606;-0.670209505;-0.999778646
-0.997808219;0.386363636;-0.720056928;-0.999114867
-0.998355263;0.333333333;-0.634627525;-0.99933608
-0.998353458;0.378787879;-0.709267793;-0.998893231
-0.998353458;0.424242424;-0.777117197;-0.998893231
-0.998353458;0.371212121;-0.697176132;-0.998893231
\n;;;
-1;0.613636364;-0.797196573;-0.999557151
-0.998902305;0.515151515;-0.856203895;-0.999335939
