Recall;NFS;MI;MacroF1
-0.869361453;0.5;-0.782575669;-0.8744303
-0.896193772;0.545454545;-0.831043128;-0.843045398
-0.827277809;0.606060606;-0.892779737;-0.85560629
-0.913455037;0.590909091;-0.819569486;-0.861843049
-0.969795918;0.234848485;-0.341183314;-0.838812116
-0.841930116;0.666666667;-0.889550469;-0.869578398
-0.903135889;0.484848485;-0.785372614;-0.845602307
-0.916227608;0.234848485;-0.328132653;-0.94706721
-0.975895317;0.393939394;-0.646966804;-0.898177633
-0.962566845;0.295454545;-0.499456647;-0.940632515
-0.851983723;0.416666667;-0.68850611;-0.904636695
-0.866490765;0.492424242;-0.78035754;-0.905088241
-0.967384214;0.431818182;-0.67383866;-0.91103895
-0.950791855;0.386363636;-0.608498343;-0.949455772
-0.978397213;0.371212121;-0.615132469;-0.895828063
-0.877375843;0.613636364;-0.85702035;-0.866465371
-0.98302583;0.333333333;-0.477783864;-0.879470326
-0.979091995;0.318181818;-0.533133909;-0.951148331
-0.983772819;0.325757576;-0.467690165;-0.909897641
-0.97324941;0.227272727;-0.319934293;-0.852496949
-0.906290957;0.568181818;-0.823160708;-0.866658828
-0.788085938;0.446969697;-0.746801145;-0.861120791
-0.966411314;0.401515152;-0.649911443;-0.94656935
-0.979841173;0.348484848;-0.603238698;-0.94346042
-0.976017442;0.333333333;-0.578178432;-0.880103232
-0.946560546;0.416666667;-0.664358615;-0.944278206
-0.973716381;0.28030303;-0.473103513;-0.938703366
-0.9695372;0.318181818;-0.572121474;-0.95111751
-0.974;0.409090909;-0.661106963;-0.908094319
-0.82647386;0.53030303;-0.831894166;-0.856413983
-0.973753281;0.25;-0.382471982;-0.913453418
-0.907284768;0.560606061;-0.807408591;-0.894474282
-0.967931937;0.409090909;-0.655930315;-0.910289216
-0.969933854;0.303030303;-0.534596358;-0.941839911
-0.879493671;0.371212121;-0.607951668;-0.929789972
-0.872902898;0.371212121;-0.620770702;-0.922756254
-0.963692308;0.446969697;-0.700738643;-0.928878224
-0.947890819;0.583333333;-0.773040755;-0.914466249
-0.875766017;0.53030303;-0.805437899;-0.895216764
-0.971108491;0.28030303;-0.486385368;-0.949930842
-0.843599034;0.575757576;-0.855174368;-0.845900312
-0.977488152;0.295454545;-0.497075433;-0.953029108
-0.867071153;0.545454545;-0.818278518;-0.89143237
-0.863461538;0.515151515;-0.80738705;-0.843062095
-0.833812536;0.659090909;-0.892816205;-0.852558845
\n;;;
-0.919813761;0.340909091;-0.476777027;-0.956658641
-0.992936428;0.318181818;-0.402967111;-0.787650246
-0.824902724;0.575757576;-0.911875944;-0.855320087
