Recall;NFS;MI;MacroF1;ACC
-0.97037037;0.227272727;-0.335167783;-0.931889693;-0.938599106
-0.886660854;0.303030303;-0.526902897;-0.890709482;-0.900149031
-0.969260327;0.401515152;-0.675856781;-0.918321656;-0.926974665
-0.954468803;0.310606061;-0.49492077;-0.953363266;-0.957078987
-0.908730159;0.462121212;-0.726141879;-0.866342689;-0.881371088
-0.976146789;0.310606061;-0.52838522;-0.939289013;-0.945156483
-0.978563773;0.21969697;-0.404653632;-0.887551733;-0.901937407
-0.951598963;0.265151515;-0.483846656;-0.942365416;-0.947242921
-0.981601732;0.234848485;-0.435879783;-0.886275181;-0.901043219
-0.913669065;0.363636364;-0.592638656;-0.940124169;-0.944262295
-0.830025884;0.636363636;-0.797154301;-0.851248367;-0.863785395
-0.918203689;0.212121212;-0.38827264;-0.942646993;-0.946646796
-0.941569282;0.21969697;-0.396419694;-0.947001483;-0.951117735
-0.965732087;0.393939394;-0.671387329;-0.889717688;-0.903129657
-0.967930029;0.378787879;-0.645592123;-0.913427627;-0.922801788
-0.969552807;0.265151515;-0.484361919;-0.921824346;-0.929955291
-0.890743551;0.227272727;-0.412355752;-0.939183142;-0.942771982
-0.819791667;0.560606061;-0.761657777;-0.793540468;-0.818777943
\n;;;;
-0.982404692;0.325757576;-0.520742667;-0.92134568;-0.929955291
-0.931769723;0.393939394;-0.652357374;-0.859354904;-0.877198212
-0.91898332;0.409090909;-0.675363601;-0.946599596;-0.950223547
-0.981921979;0.272727273;-0.430852145;-0.930473567;-0.937704918
-0.792065663;0.515151515;-0.75777243;-0.885742673;-0.890312966
-0.903805497;0.5;-0.763491002;-0.843954376;-0.863487332
-0.949529512;0.431818182;-0.641837697;-0.944444654;-0.949031297
-0.956672444;0.227272727;-0.377268888;-0.945264831;-0.949925484
-0.979610751;0.25;-0.407877476;-0.93815887;-0.944262295
-0.853285329;0.386363636;-0.647287907;-0.856423727;-0.869746647
-0.93071161;0.295454545;-0.507721415;-0.899898239;-0.909985097
