Recall;NFS;MI;MacroF1;ACC
-0.903651904;0.318181818;-0.508632685;-0.941750759;-0.945454545
-0.81540931;0.545454545;-0.879001452;-0.860278515;-0.870044709
-0.787154593;0.537878788;-0.883957989;-0.856966517;-0.864977645
-0.986996099;0.265151515;-0.419730243;-0.831098919;-0.859016393
-0.899641577;0.477272727;-0.797734779;-0.891686696;-0.901639344
-0.963350785;0.196969697;-0.29667941;-0.816191111;-0.846795827
-0.938005391;0.393939394;-0.678321731;-0.918880636;-0.926378539
-0.977272727;0.265151515;-0.446532188;-0.898998869;-0.911177347
-0.89258312;0.272727273;-0.452311103;-0.90228242;-0.910283159
-0.77874818;0.575757576;-0.896194432;-0.856752058;-0.864083458
-0.866722548;0.431818182;-0.748132562;-0.887761541;-0.89657228
-0.974296206;0.28030303;-0.458782905;-0.842539018;-0.866766021
-0.96996124;0.318181818;-0.55896785;-0.915822898;-0.924888227
-0.967032967;0.310606061;-0.548084396;-0.83910526;-0.863785395
-0.951584507;0.196969697;-0.32399402;-0.935920973;-0.941579732
-0.883478261;0.386363636;-0.672560574;-0.889141957;-0.898658718
-0.979214781;0.227272727;-0.39449781;-0.863724383;-0.883159463
-0.819566961;0.53030303;-0.868454736;-0.863826659;-0.873323398
-0.973574409;0.189393939;-0.30563611;-0.803918359;-0.838748137
-0.95970696;0.363636364;-0.627283166;-0.928100151;-0.935022355
-0.963519313;0.303030303;-0.521747333;-0.877609943;-0.893293592
-0.967633929;0.303030303;-0.543352519;-0.867536595;-0.885543964
-0.828298887;0.545454545;-0.875810368;-0.87335278;-0.881967213
-0.833333333;0.5;-0.80500437;-0.882057007;-0.889716841
-0.917721519;0.287878788;-0.496568259;-0.946963412;-0.95052161
-0.83850365;0.424242424;-0.726996371;-0.841817659;-0.856929955
-0.949779736;0.227272727;-0.361273014;-0.934273526;-0.940089419
-0.885623511;0.590909091;-0.799799946;-0.919739512;-0.925186289
-0.950405771;0.21969697;-0.349738939;-0.926704018;-0.933532042
-0.904596704;0.439393939;-0.745557772;-0.905824561;-0.913859911
-0.945359931;0.416666667;-0.707598316;-0.936456019;-0.941877794
-0.829858215;0.515151515;-0.853612663;-0.860742383;-0.871535022
-0.893617021;0.583333333;-0.789721412;-0.916334999;-0.922503726
-0.893914474;0.454545455;-0.76982705;-0.914958384;-0.921311475
-0.904918033;0.46969697;-0.781265256;-0.924675144;-0.930253353
-0.77654046;0.537878788;-0.893155898;-0.849567536;-0.857824143
-0.942965779;0.454545455;-0.76098523;-0.903548603;-0.913561848
-0.960072595;0.401515152;-0.695147711;-0.931537759;-0.938002981
-0.963070943;0.378787879;-0.655161499;-0.910085064;-0.919821162
-0.906818182;0.363636364;-0.574168017;-0.953134745;-0.955886736
-0.912033195;0.356060606;-0.609579249;-0.926088817;-0.931743666
-0.821510297;0.484848485;-0.832087915;-0.879820036;-0.887034277
-0.768569195;0.431818182;-0.752378233;-0.829488494;-0.840536513
-0.841138659;0.401515152;-0.714754899;-0.841921018;-0.857228018
-0.883440514;0.325757576;-0.603275034;-0.914087003;-0.920119225
-0.921671018;0.363636364;-0.6403124;-0.917492801;-0.924590164
-0.874131944;0.560606061;-0.858262589;-0.882665686;-0.892697466
-0.940568475;0.318181818;-0.556271496;-0.935250762;-0.940685544
-0.860015468;0.439393939;-0.754601854;-0.90746297;-0.913263785
-0.877629063;0.378787879;-0.661204882;-0.85613516;-0.87123696
-0.960324617;0.371212121;-0.636481075;-0.933935012;-0.940089419
-0.836363636;0.507575758;-0.844414753;-0.868432587;-0.878390462
-0.978647687;0.242424242;-0.401022011;-0.854844049;-0.876304024
-0.981343284;0.25;-0.462622985;-0.841614941;-0.866467958
-0.913149351;0.234848485;-0.388765065;-0.934469042;-0.939195231
-0.960888889;0.401515152;-0.664263845;-0.939386976;-0.94485842
-0.93250444;0.265151515;-0.440296643;-0.91876177;-0.926080477
-0.905791506;0.189393939;-0.299730644;-0.945639861;-0.949031297
-0.829787234;0.492424242;-0.83120729;-0.877094873;-0.885245902
-0.904617714;0.234848485;-0.379950439;-0.951558889;-0.954396423
-0.820016821;0.522727273;-0.865708929;-0.850779396;-0.862593145
-0.880463872;0.416666667;-0.721158315;-0.879006118;-0.890014903
-0.906875544;0.424242424;-0.724123701;-0.906404877;-0.914456036
-0.887428102;0.492424242;-0.80032261;-0.910142288;-0.916840537
-0.984832069;0.295454545;-0.48990595;-0.887960233;-0.902533532
-0.820534224;0.386363636;-0.689959004;-0.853284594;-0.864679583
-0.912167607;0.28030303;-0.473337331;-0.936173809;-0.940685544
-0.863905325;0.575757576;-0.837209374;-0.883020034;-0.892399404
-0.836363636;0.446969697;-0.777327811;-0.894236519;-0.900447094
-0.976829268;0.272727273;-0.406942649;-0.845133096;-0.868852459
-0.961015413;0.409090909;-0.700016575;-0.932538836;-0.938897168
-0.90108969;0.507575758;-0.791875232;-0.91428475;-0.921013413
-0.963553531;0.348484848;-0.607723162;-0.858605516;-0.878390462
-0.942141623;0.356060606;-0.606480815;-0.93553962;-0.940983607
-0.937766411;0.325757576;-0.569609118;-0.936694591;-0.941877794
-0.98002103;0.234848485;-0.406562237;-0.894846799;-0.907898659
-0.963414634;0.340909091;-0.596679501;-0.867049105;-0.884947839
-0.973559962;0.310606061;-0.523779984;-0.927271325;-0.934724292
