Framework;Algorithm;Problem;Seed;HV;GD;IGD;;;;
moeadr;moead;dtlz2;9;15.27293182;0.068068157;0.107532072;;;;
moeadr;moead;dtlz2;10;15.08851201;0.069627106;0.106654149;;;;
moeadr;moead;dtlz2;11;14.7802184;0.05506309;0.105828742;;;;
moeadr;moead;dtlz2;11;15.2823062;0.0520617;0.1062506;;;;
;;;;;;;;;;
pymoo;nsga2;dtlz2;1;15.40829211;0.172559582;0.086339779;;;;
pymoo;nsga2;dtlz2;2;15.41074257;0.170149926;0.087458854;;;;
pymoo;nsga2;dtlz2;3;15.40829211;0.172559582;0.086339779;;;;
pymoo;nsga2;dtlz2;4;15.42035733;0.172774153;0.085384121;;;;
pymoo;nsga2;dtlz2;5;15.44860263;0.168534311;0.088786944;Mejor;15.44860263;1.66E-01;8.43E-02
pymoo;nsga2;dtlz2;6;15.35683511;0.165970083;0.084267154;Media;15.4093692;0.172344937;0.088299579
pymoo;nsga2;dtlz2;7;15.41490032;0.16859135;0.085076732;Peor;15.35683511;1.86E-01;1.01E-01
pymoo;nsga2;dtlz2;8;15.40286459;0.185774792;0.101286003;;;;
pymoo;nsga2;dtlz2;9;15.39209211;0.169726466;0.090021452;;;;
pymoo;nsga2;dtlz2;10;15.40773354;0.172866154;0.089564745;;;;
pymoo;nsga2;dtlz2;11;15.43727803;0.176840641;0.08872959;;;;
pymoo;nsga2;dtlz2;11;15.40444;0.1717922;0.0863398;;;;
;;;;;;;;;;
pymoo;nsga3;dtlz2;1;15.56829008;0.152620066;0.041422057;;;;
pymoo;nsga3;dtlz2;2;15.56826443;0.152687152;0.041452577;;;;
pymoo;nsga3;dtlz2;3;15.56829008;0.152620066;0.041422057;;;;
pymoo;nsga3;dtlz2;4;15.56833661;0.152646718;0.041423567;;;;
pymoo;nsga3;dtlz2;5;15.56830964;0.152596268;0.041460671;Mejor;15.56833857;1.53E-01;4.14E-02
pymoo;nsga3;dtlz2;6;15.56832851;0.152619989;0.041446059;Media;15.56827798;0.152619287;0.041460364
pymoo;nsga3;dtlz2;7;15.56813625;0.152587708;0.041505151;Peor;15.56813625;1.53E-01;4.16E-02
pymoo;nsga3;dtlz2;8;15.56821215;0.152617018;0.041605961;;;;
pymoo;nsga3;dtlz2;9;15.56828839;0.152607104;0.041454897;;;;
pymoo;nsga3;dtlz2;10;15.56833857;0.152559115;0.041438408;;;;
pymoo;nsga3;dtlz2;11;15.56825089;0.152650143;0.041470859;;;;
pymoo;nsga3;dtlz2;11;15.5682901;0.1526201;0.0414221;;;;
;;;;;;;;;;
rmoo;nsga2;dtlz2;1;15.47373212;0.166809171;0.079138796;;;;
rmoo;nsga2;dtlz2;2;15.46885644;0.165601023;0.077373197;;;;
rmoo;nsga2;dtlz2;3;15.47373212;0.166809171;0.079138796;;;;
rmoo;nsga2;dtlz2;4;15.46490342;0.16388553;0.079445008;;;;
rmoo;nsga2;dtlz2;5;15.46493356;0.170418688;0.085377656;Mejor;15.47916451;1.62E-01;7.49E-02
rmoo;nsga2;dtlz2;6;15.45962085;0.167682265;0.082031705;Media;15.46928345;0.167449768;0.08024848
rmoo;nsga2;dtlz2;7;15.47657108;0.165156323;0.076612235;Peor;15.45001201;1.74E-01;8.54E-02
rmoo;nsga2;dtlz2;8;15.47876885;0.163986879;0.074944335;;;;
rmoo;nsga2;dtlz2;9;15.47296355;0.169059019;0.081268426;;;;
rmoo;nsga2;dtlz2;10;15.47916451;0.162074612;0.081560149;;;;
rmoo;nsga2;dtlz2;11;15.45001201;0.173734333;0.084409051;;;;
rmoo;nsga2;dtlz2;11;15.4681429;0.1741802;0.0816824;;;;
;;;;;;;;;;
rmoo;nsga3;dtlz2;1;15.56819055;0.152654561;0.041442491;;;;
rmoo;nsga3;dtlz2;2;15.5681604;0.152634548;0.041433966;;;;
rmoo;nsga3;dtlz2;3;15.56819055;0.152654561;0.041442491;;;;
rmoo;nsga3;dtlz2;4;15.56821009;0.152609838;0.04142776;;;;
rmoo;nsga3;dtlz2;5;15.56825964;0.152643075;0.041428599;;;;
rmoo;nsga3;dtlz2;6;15.56811987;0.152669074;0.041434599;;;;
rmoo;nsga3;dtlz2;7;15.56818085;0.152627297;0.041448173;;;;
rmoo;nsga3;dtlz2;8;15.56817153;0.152784035;0.041477191;;;;
rmoo;nsga3;dtlz2;9;15.56816432;0.152627893;0.041424152;;;;
rmoo;nsga3;dtlz2;10;15.56809367;0.152628509;0.041467;;;;
rmoo;nsga3;dtlz2;11;15.56794381;0.152621856;0.041474046;;;;
rmoo;nsga3;dtlz2;11;15.5680672;0.1526377;0.0414446;Mejor;47.69346255;1.53E-01;4.14E-02
deap;nsga2;dtlz3;1;45.32665104;110.4367977;0.565917239;Media;15.90957594;18.43661925;0.629380163
deap;nsga2;dtlz3;2;47.69346255;25.88152424;0.560671017;Peor;0;1.10E+02;1.74E+00
deap;nsga2;dtlz3;3;24.69383235;26.85932249;0.962946038;;;;
deap;nsga2;dtlz3;4;0.934745081;34.55937576;1.5915617;;;;
deap;nsga2;dtlz3;5;0;26.24613495;1.623158963;;;;
deap;nsga2;dtlz3;6;0;31.90343422;1.735105724;;;;
deap;nsga2;dtlz3;7;20.50379614;25.76511012;1.09388467;;;;
deap;nsga2;dtlz3;8;28.96787912;28.41453403;0.829382077;;;;
deap;nsga2;dtlz3;9;4.589013205;34.12198725;1.643644305;;;;
deap;nsga2;dtlz3;10;4.590392456;28.19201417;1.644680158;;;;
deap;nsga2;dtlz3;11;1.802722281;49.83021479;1.727446791;;;;
deap;nsga2;dtlz3;11;0;116.872729;1.8242987;;;;
;;;;;;;;;;
deap;nsga3;dtlz3;1;63.77770844;0.020083676;0.014253571;;;;
deap;nsga3;dtlz3;2;63.76402869;0.035523632;0.035606044;;;;
deap;nsga3;dtlz3;3;63.77511617;0.039852149;0.028192466;;;;
deap;nsga3;dtlz3;4;63.77534797;0.04520988;0.030275279;;;;
deap;nsga3;dtlz3;5;63.77461463;0.062686305;0.042297417;;;;
deap;nsga3;dtlz3;6;63.75747381;0.090450538;0.059060846;;;;
deap;nsga3;dtlz3;7;63.77157028;0.056982913;0.038806062;;;;
deap;nsga3;dtlz3;8;63.77933049;0.011956526;0.009040051;;;;
deap;nsga3;dtlz3;9;63.77091093;0.073241219;0.0511485;;;;
deap;nsga3;dtlz3;10;63.7768138;0.038356804;0.026239139;;;;
deap;nsga3;dtlz3;11;63.7786325;0.030887256;0.02185281;Mejor;63.78011462;1.20E-02;9.04E-03
deap;nsga3;dtlz3;12;63.77726424;0.030860336;0.022221195;Media;63.76729691;0.155583944;0.036966688
deap;nsga3;dtlz3;13;63.78011462;0.031348854;0.020925051;Peor;63.70306182;1.69E+00;9.05E-02
deap;nsga3;dtlz3;14;63.73879861;0.758581009;0.058631573;;;;
deap;nsga3;dtlz3;15;63.77913654;0.017923663;0.013045306;;;;
deap;nsga3;dtlz3;16;63.77408646;0.073184051;0.045670938;;;;
deap;nsga3;dtlz3;17;63.70306182;0.11903714;0.090523369;;;;
deap;nsga3;dtlz3;18;63.774319;0.061910352;0.041562802;;;;
deap;nsga3;dtlz3;19;63.73642468;1.685704304;0.067749122;;;;
deap;nsga3;dtlz3;20;63.77811196;0.025174921;0.017713407;;;;
deap;nsga3;dtlz3;21;63.76848136;0.065550033;0.041970382;;;;
deap;nsga3;dtlz3;11;63.769185;0.0483412;0.0364818;;;;
;;;;;;;;;;
moeadr;moead;dtlz3;1;62.63221388;3.604987244;0.21315816;;;;
moeadr;moead;dtlz3;2;58.13812804;2.315203662;0.314947678;;;;
moeadr;moead;dtlz3;3;61.33137528;2.355525845;0.253396499;;;;
moeadr;moead;dtlz3;4;62.97021824;2.083925422;0.188482969;;;;
moeadr;moead;dtlz3;5;62.63540102;1.033048707;0.207429465;Mejor;63.04147325;8.20E-02;1.79E-01
moeadr;moead;dtlz3;6;62.8138872;4.179441385;0.218919705;Media;61.7521275;1.950713788;0.226532086
moeadr;moead;dtlz3;7;62.23901804;0.126996825;0.238131588;Peor;58.13812804;4.18E+00;3.15E-01
moeadr;moead;dtlz3;8;61.91774181;0.082038139;0.194944628;;;;
moeadr;moead;dtlz3;9;63.04147325;0.12305341;0.178708813;;;;
