Recall;NFS;MI;MacroF1
-1;0.596774194;-0.725255277;-0.997149791
-1;0.39516129;-0.555586124;-0.999049747
-1;0.451612903;-0.595861254;-0.99952485
-1;0.491935484;-0.656672237;-0.996991494
-1;0.443548387;-0.605181508;-0.997941352
-1;0.35483871;-0.506407389;-0.999683228
-1;0.306451613;-0.452284702;-0.99952485
-1;0.322580645;-0.473673668;-0.997624713
-1;0.379032258;-0.532835308;-0.999841612
-1;0.588709677;-0.731626572;-0.996358351
-1;0.629032258;-0.75859134;-0.99651663
-1;0.467741935;-0.634365738;-0.996991494
-1;0.475806452;-0.63966344;-0.998574691
-1;0.548387097;-0.700712379;-0.997941352
-1;0.508064516;-0.677490912;-0.996833201
-1;0.491935484;-0.639303712;-0.999049747
-1;0.370967742;-0.522844428;-0.999841612
-1;0.39516129;-0.553948853;-0.999366477
-1;0.298387097;-0.445263363;-0.997466401
-1;0.451612903;-0.599021505;-0.999366477
-1;0.403225806;-0.564462539;-0.99889139
-1;0.435483871;-0.574977006;-0.999683228
-1;0.435483871;-0.599777941;-0.998416349
-1;0.274193548;-0.411996147;-0.999841612
-1;0.596774194;-0.73450097;-0.996991494
-1;0.362903226;-0.516093829;-0.998574691
-1;0.306451613;-0.449619353;-0.999841612
-1;0.516129032;-0.665905395;-0.998416349
-1;0.491935484;-0.639590616;-0.99889139
-1;0.435483871;-0.593847096;-0.99889139
-1;0.475806452;-0.643315809;-0.996991494
-1;0.362903226;-0.514213774;-0.999841612
-1;0.459677419;-0.619594267;-0.99920811
-1;0.459677419;-0.604688578;-0.99952485
-1;0.629032258;-0.761085208;-0.996358351
-1;0.346774194;-0.501546248;-0.997941352
-1;0.556451613;-0.709564643;-0.997941352
-1;0.532258065;-0.699731242;-0.996200078
-1;0.411290323;-0.573498731;-0.998574691
-1;0.419354839;-0.566108683;-0.999841612
-1;0.387096774;-0.546804903;-0.99920811
-1;0.483870968;-0.648673117;-0.996991494
-1;0.467741935;-0.630346672;-0.998416349
-1;0.508064516;-0.664454995;-0.998733038
-1;0.419354839;-0.582014043;-0.999049747
-1;0.362903226;-0.51850349;-0.998416349
-1;0.298387097;-0.44505406;-0.99778303
-1;0.338709677;-0.491377463;-0.997624713
-1;0.35483871;-0.506379082;-0.999841612
-1;0.290322581;-0.435324263;-0.999683228
-1;0.5;-0.664294188;-0.997308094
