Recall,NFS,SU,MacroF1,Acc
-0.99933273,0.18548387,-0.28457861,-0.99932142,-0.9993231
-0.99847326,0.41935484,-0.57038373,-0.99841678,-0.99842058
-0.99696917,0.48387097,-0.64318653,-0.99683405,-0.99684116
-0.99739891,0.52419355,-0.68537593,-0.99728621,-0.99729242
-0.99933273,0.18548387,-0.28457861,-0.99932142,-0.9993231
-0.99782865,0.5,-0.65816608,-0.99773841,-0.99774368
-0.99911786,0.32258065,-0.44538702,-0.99909524,-0.99909747
-0.99761378,0.47580645,-0.63437526,-0.9975123,-0.99751805
-0.99868813,0.39516129,-0.5423564,-0.99864293,-0.99864621
-0.99804352,0.46774194,-0.62422273,-0.99796452,-0.99796931
-0.99890299,0.26612903,-0.39263606,-0.99886908,-0.99887184
-0.99739891,0.58870968,-0.75301407,-0.99728621,-0.99729242
-0.99782865,0.45967742,-0.61590045,-0.99773841,-0.99774368
-0.99911786,0.2016129,-0.3056865,-0.99909524,-0.99909747
\,n
-0.99890299,0.45967742,-0.61368216,-0.99886908,-0.99887184
-0.99333906,0.16129032,-0.24402714,-0.9929924,-0.99300542
-0.99675431,0.5483871,-0.70679796,-0.99660798,-0.99661552
-0.99871079,0.16935484,-0.26627131,-0.99864299,-0.99864621
-0.99957026,0.25806452,-0.38663395,-0.99954762,-0.99954874
-0.99933273,0.36290323,-0.50554327,-0.99932142,-0.9993231
-0.99804352,0.53225806,-0.6860882,-0.99796452,-0.99796931
-0.99957026,0.18548387,-0.28741999,-0.99954762,-0.99954874
-0.99333906,0.16129032,-0.24402714,-0.9929924,-0.99300542
-0.99871079,0.16935484,-0.26627131,-0.99864299,-0.99864621
-0.99935539,0.29032258,-0.42004063,-0.99932145,-0.9993231
-0.99825839,0.51612903,-0.67444193,-0.99819065,-0.99819495
-0.99739891,0.51612903,-0.6760657,-0.99728621,-0.99729242
-0.99957026,0.19354839,-0.3004318,-0.99954762,-0.99954874
-0.99890299,0.45967742,-0.61368216,-0.99886908,-0.99887184
-0.99933273,0.36290323,-0.50848587,-0.99932142,-0.9993231
-0.99914052,0.17741935,-0.26517582,-0.99909528,-0.99909747
-0.99871079,0.16935484,-0.26627131,-0.99864299,-0.99864621
-0.99761378,0.5483871,-0.70661897,-0.9975123,-0.99751805
-0.99847326,0.48387097,-0.63872781,-0.99841678,-0.99842058
-0.99890299,0.41935484,-0.5713764,-0.99886908,-0.99887184
-0.99933273,0.30645161,-0.44576558,-0.99932142,-0.9993231
-0.99935539,0.31451613,-0.45302578,-0.99932145,-0.9993231
-0.99871079,0.16935484,-0.26627131,-0.99864299,-0.99864621
-0.99933273,0.37903226,-0.52641446,-0.99932142,-0.9993231
-0.99933273,0.43548387,-0.58933625,-0.99932142,-0.9993231
-0.99914052,0.17741935,-0.26517582,-0.99909528,-0.99909747
-0.99804352,0.5,-0.65630179,-0.99796452,-0.99796931
-0.99935539,0.30645161,-0.4441467,-0.99932145,-0.9993231
-0.99675431,0.48387097,-0.63969159,-0.99660798,-0.99661552
-0.99933273,0.28225806,-0.41829635,-0.99932142,-0.9993231
-0.99957026,0.19354839,-0.3004318,-0.99954762,-0.99954874
-0.99871079,0.16935484,-0.26627131,-0.99864299,-0.99864621
-0.99782865,0.52419355,-0.68296151,-0.99773841,-0.99774368
-0.99933273,0.41129032,-0.56233828,-0.99932142,-0.9993231
-0.99957026,0.32258065,-0.46175559,-0.99954762,-0.99954874
-0.99675431,0.5483871,-0.70679796,-0.99660798,-0.99661552
-0.99933273,0.30645161,-0.44576558,-0.99932142,-0.9993231
-0.99804352,0.53225806,-0.6860882,-0.99796452,-0.99796931
-0.99933273,0.44354839,-0.59829807,-0.99932142,-0.9993231
-0.99957026,0.20967742,-0.32936758,-0.99954762,-0.99954874
-0.99871079,0.16935484,-0.26627131,-0.99864299,-0.99864621
-0.99782865,0.5,-0.65952024,-0.99773841,-0.99774368
-0.99957026,0.39516129,-0.54286088,-0.99954762,-0.99954874
-0.99739891,0.56451613,-0.7273831,-0.99728621,-0.99729242
-0.99914052,0.17741935,-0.26517582,-0.99909528,-0.99909747
-0.99739891,0.46774194,-0.62479706,-0.99728621,-0.99729242
-0.99933273,0.41129032,-0.56207018,-0.99932142,-0.9993231
-0.99957026,0.39516129,-0.54286088,-0.99954762,-0.99954874
-0.99868813,0.23387097,-0.35830637,-0.99864293,-0.99864621
-0.99933273,0.43548387,-0.58933625,-0.99932142,-0.9993231
-0.99957026,0.21774194,-0.32493592,-0.99954762,-0.99954874
-0.99933273,0.33870968,-0.4814854,-0.99932142,-0.9993231
-0.99675431,0.48387097,-0.63969159,-0.99660798,-0.99661552
-0.99914052,0.17741935,-0.26517582,-0.99909528,-0.99909747
-0.99782865,0.54032258,-0.70241068,-0.99773841,-0.99774368
-0.99957026,0.32258065,-0.46175559,-0.99954762,-0.99954874
-0.99868813,0.46774194,-0.6238417,-0.99864293,-0.99864621
-0.99804352,0.53225806,-0.6860882,-0.99796452,-0.99796931
-0.99914052,0.17741935,-0.26517582,-0.99909528,-0.99909747
-0.99782865,0.5,-0.65952024,-0.99773841,-0.99774368
-0.99933273,0.30645161,-0.44576558,-0.99932142,-0.9993231
-0.99782865,0.52419355,-0.68296151,-0.99773841,-0.99774368
-0.99890299,0.41935484,-0.5713764,-0.99886908,-0.99887184
-0.99675431,0.5483871,-0.70679796,-0.99660798,-0.99661552
-0.99957026,0.20967742,-0.31614668,-0.99954762,-0.99954874
-0.99933273,0.29032258,-0.42446636,-0.99932142,-0.9993231
-0.99933273,0.38709677,-0.53665696,-0.99932142,-0.9993231
-0.99890299,0.4516129,-0.60472437,-0.99886908,-0.99887184
-0.99914052,0.17741935,-0.26517582,-0.99909528,-0.99909747
-0.99933273,0.2983871,-0.4368865,-0.99932142,-0.9993231
-0.99933273,0.32258065,-0.4629488,-0.99932142,-0.9993231
-0.99739891,0.55645161,-0.71844814,-0.99728621,-0.99729242
-0.99739891,0.56451613,-0.7273831,-0.99728621,-0.99729242
-0.99890299,0.4516129,-0.60472437,-0.99886908,-0.99887184
-0.99957026,0.37903226,-0.52473411,-0.99954762,-0.99954874
-0.99782865,0.54032258,-0.70241068,-0.99773841,-0.99774368
-0.99957026,0.27419355,-0.38973327,-0.99954762,-0.99954874
-0.99739891,0.50806452,-0.66906272,-0.99728621,-0.99729242
-0.99957026,0.2016129,-0.31656072,-0.99954762,-0.99954874
-0.99847326,0.48387097,-0.63872781,-0.99841678,-0.99842058
-0.99914052,0.17741935,-0.26517582,-0.99909528,-0.99909747
-0.99933273,0.41129032,-0.56207018,-0.99932142,-0.9993231
-0.99935539,0.31451613,-0.45302578,-0.99932145,-0.9993231
-0.99957026,0.25,-0.37769645,-0.99954762,-0.99954874
-0.99739891,0.55645161,-0.71844814,-0.99728621,-0.99729242
-0.99957026,0.20967742,-0.31614668,-0.99954762,-0.99954874
-0.99957026,0.22580645,-0.34519479,-0.99954762,-0.99954874
-0.99890299,0.41935484,-0.5713764,-0.99886908,-0.99887184
-0.99868813,0.37096774,-0.51754819,-0.99864293,-0.99864621
-0.99675431,0.48387097,-0.63969159,-0.99660798,-0.99661552
-0.99825839,0.50806452,-0.66550826,-0.99819065,-0.99819495
-0.99957026,0.22580645,-0.34744273,-0.99954762,-0.99954874
-0.99933273,0.41129032,-0.56233828,-0.99932142,-0.9993231
-0.99847326,0.48387097,-0.63872781,-0.99841678,-0.99842058
