Framework;Algorithm;Problem;Seed;HV;GD;IGD;;;;
deap;nsga3;zdt5;6;3.746301212;0.185806401;0.088982098;Media;3.781006522;0.171411124;0.074411681
deap;nsga3;zdt5;7;3.783466048;0.172687328;0.074478739;Peor;3.746301212;0.190767337;0.067756674
deap;nsga3;zdt5;8;3.794036242;0.164173865;0.06836122;;;;
deap;nsga3;zdt5;9;3.762760731;0.1900306;0.081684401;;;;
deap;nsga3;zdt5;10;3.777963536;0.17484831;0.075378449;;;;
deap;nsga3;zdt5;11;3.790690089;0.160478234;0.069076197;;;;
deap;nsga3;zdt5;11;3.79900105;0.15808944;0.06790085;;;;
;;;;;;;;;;
deap;nsga3;zdt6;1;14.46066878;0.004139642;0.004247883;;;;
deap;nsga3;zdt6;2;14.46446606;0.003919819;0.003859324;;;;
deap;nsga3;zdt6;3;14.45426387;0.004992649;0.005028608;;;;
deap;nsga3;zdt6;4;14.45292412;0.004916846;0.004951568;;;;
deap;nsga3;zdt6;5;14.45975816;0.00453221;0.004521486;Mejor;14.46446606;0.003919819;0.003859324
deap;nsga3;zdt6;6;14.45894415;0.004511588;0.004565268;Media;14.45840778;0.004511077;0.004553557
deap;nsga3;zdt6;7;14.45907691;0.004364;0.00453776;Peor;14.45292412;0.004992649;0.003859324
deap;nsga3;zdt6;8;14.45426576;0.004754347;0.004746606;;;;
deap;nsga3;zdt6;9;14.46021011;0.004415938;0.004393955;;;;
deap;nsga3;zdt6;10;14.45824427;0.004630929;0.004642779;;;;
deap;nsga3;zdt6;11;14.46129991;0.004182846;0.004268892;;;;
deap;nsga3;zdt6;11;14.45677123;0.00477211;0.00487855;;;;
;;;;;;;;;;
moeadr;moead;zdt1;1;3.661535344;0.003522608;0.002286909;;;;
moeadr;moead;zdt1;2;3.660520638;0.004563594;0.00237628;;;;
moeadr;moead;zdt1;3;3.661505191;0.003581199;0.002351619;;;;
moeadr;moead;zdt1;4;3.66137864;0.003714382;0.002383479;;;;
moeadr;moead;zdt1;5;3.661542132;0.003515558;0.002287372;Mejor;3.661556069;0.003514998;0.002280621
moeadr;moead;zdt1;6;3.661348858;0.003653988;0.002376934;Media;3.661190711;0.003884691;0.002337079
moeadr;moead;zdt1;7;3.661556069;0.003564303;0.002300992;Peor;3.659078433;0.006172545;0.002280621
moeadr;moead;zdt1;8;3.661512149;0.003530549;0.00228535;;;;
moeadr;moead;zdt1;9;3.661470345;0.003514998;0.002280621;;;;
moeadr;moead;zdt1;10;3.659078433;0.006172545;0.002380703;;;;
moeadr;moead;zdt1;11;3.661335538;0.003701367;0.002383071;;;;
moeadr;moead;zdt1;11;3.66150519;0.0035812;0.00235162;;;;
;;;;;;;;;;
moeadr;moead;zdt2;1;3.32799112;0.003966612;0.002203441;;;;
moeadr;moead;zdt2;2;3.328414544;0.003589299;0.002098414;;;;
moeadr;moead;zdt2;3;3.328489928;0.003583282;0.002088353;;;;
moeadr;moead;zdt2;4;3.328297824;0.003594967;0.002105476;;;;
moeadr;moead;zdt2;5;3.328291076;0.003598577;0.002111627;Mejor;3.32848993;0.00358328;0.00208835
moeadr;moead;zdt2;6;3.325428212;0.00651613;0.002201132;Media;3.32753511;0.004435204;0.002145854
moeadr;moead;zdt2;7;3.326159114;0.005670101;0.002212795;Peor;3.323941713;0.007987222;0.00208835
moeadr;moead;zdt2;8;3.323941713;0.007987222;0.002203567;;;;
moeadr;moead;zdt2;9;3.32807024;0.00391078;0.002193721;;;;
moeadr;moead;zdt2;10;3.328452166;0.003593771;0.002103341;;;;
moeadr;moead;zdt2;11;3.328395457;0.003628421;0.002140028;;;;
moeadr;moead;zdt2;11;3.32848993;0.00358328;0.00208835;;;;
;;;;;;;;;;
moeadr;moead;zdt3;1;4.811964993;0.003692322;0.002227444;;;;
moeadr;moead;zdt3;2;4.811941242;0.003692678;0.002230896;;;;
moeadr;moead;zdt3;3;4.808803163;0.005565588;0.00239301;;;;
moeadr;moead;zdt3;4;4.8119084;0.003695311;0.002238158;;;;
moeadr;moead;zdt3;5;4.811981133;0.003724875;0.002229073;Mejor;4.811981133;0.003686022;0.002226041
moeadr;moead;zdt3;6;4.811893436;0.003710174;0.002255099;Media;4.810343951;0.004647832;0.002300399
moeadr;moead;zdt3;7;4.811935806;0.003686022;0.002227555;Peor;4.807250239;0.006485812;0.002226041
moeadr;moead;zdt3;8;4.807250239;0.006485812;0.002393912;;;;
moeadr;moead;zdt3;9;4.811896869;0.00370538;0.002226041;;;;
moeadr;moead;zdt3;10;4.808139715;0.005970479;0.002396091;;;;
moeadr;moead;zdt3;11;4.807609259;0.006279748;0.002394494;;;;
moeadr;moead;zdt3;11;4.80880316;0.00556559;0.00239301;;;;
;;;;;;;;;;
moeadr;moead;zdt4;1;12.46834481;1.278415915;0.666092611;;;;
moeadr;moead;zdt4;2;2.807594875;3.416841772;2.881029794;;;;
moeadr;moead;zdt4;3;11.06967924;0.920494098;0.958183376;;;;
moeadr;moead;zdt4;4;15.66037328;0.003476137;0.002253604;;;;
moeadr;moead;zdt4;5;15.07034126;0.144811285;0.125008617;Mejor;15.66062265;0.003476137;0.00225217
moeadr;moead;zdt4;6;14.69699699;0.322060831;0.142020152;Media;13.16409304;0.638526755;0.534026961
moeadr;moead;zdt4;7;15.65973772;0.00506125;0.00237166;Peor;2.807594875;3.416841772;0.00225217
moeadr;moead;zdt4;8;15.66050312;0.003477765;0.00225217;;;;
moeadr;moead;zdt4;9;12.48506356;0.639228386;0.666287996;;;;
moeadr;moead;zdt4;10;15.66062265;0.003499312;0.002265462;;;;
moeadr;moead;zdt4;11;15.66017973;0.004460208;0.002374715;;;;
moeadr;moead;zdt4;11;11.06967924;0.9204941;0.95818338;;;;
;;;;;;;;;;
moeadr;moead;zdt6;1;14.46521553;0.004266234;0.003645273;;;;
moeadr;moead;zdt6;2;14.46273263;0.010211483;0.003320517;;;;
moeadr;moead;zdt6;3;14.44458861;0.032301763;0.003135732;;;;
moeadr;moead;zdt6;4;14.45899705;0.012814606;0.003363086;;;;
moeadr;moead;zdt6;5;14.4528239;0.023767929;0.003263988;Mejor;14.46521553;0.004266234;0.00313573
moeadr;moead;zdt6;6;14.44727791;0.024140629;0.003429504;Media;14.45079361;0.022775781;0.00340449
moeadr;moead;zdt6;7;14.44554604;0.026816431;0.003628073;Peor;14.4383169;0.039037545;0.00313573
moeadr;moead;zdt6;8;14.46347511;0.005399297;0.003614786;;;;
moeadr;moead;zdt6;9;14.4383169;0.039037545;0.003448345;;;;
moeadr;moead;zdt6;10;14.44498978;0.027119628;0.003564127;;;;
moeadr;moead;zdt6;11;14.4409712;0.035132064;0.003304721;;;;
moeadr;moead;zdt6;11;14.44458861;0.03230176;0.00313573;;;;
;;;;;;;;;;
pymoo;nsga2;zdt1;1;3.661126374;0.005491604;0.002874267;;;;
pymoo;nsga2;zdt1;2;3.660918412;0.005543444;0.003060935;;;;
pymoo;nsga2;zdt1;3;3.661126374;0.005491604;0.002874267;;;;
pymoo;nsga2;zdt1;4;3.661223779;0.004585661;0.002710802;;;;
pymoo;nsga2;zdt1;5;3.661020758;0.005388766;0.003087601;Mejor;3.661268542;0.004585661;0.002662182
pymoo;nsga2;zdt1;6;3.660537303;0.005150231;0.002973357;Media;3.66099604;0.005122068;0.00290844
pymoo;nsga2;zdt1;7;3.660874017;0.004775606;0.003023402;Peor;3.660537303;0.005543444;0.002662182
pymoo;nsga2;zdt1;8;3.660911686;0.0047251;0.002715359;;;;
pymoo;nsga2;zdt1;9;3.660799573;0.004891556;0.003053945;;;;
pymoo;nsga2;zdt1;10;3.661019295;0.00528476;0.002990889;;;;
pymoo;nsga2;zdt1;11;3.661268542;0.004644884;0.002662182;;;;
pymoo;nsga2;zdt1;11;3.66112637;0.0054916;0.00287427;;;;
