Recall,NFS,SU,MacroF1
-0.9998356884653303,0.15151515151515152,-0.313882904565575,-0.9997750959325625
-1.0,0.15151515151515152,-0.313882904565575,-1.0
-0.9996713769306605,0.15151515151515152,-0.313882904565575,-0.9995502463231651
-0.9996713769306605,0.15151515151515152,-0.313882904565575,-0.9995502463231651
-0.9996713769306605,0.15151515151515152,-0.313882904565575,-0.9995502463231651
-1.0,0.1590909090909091,-0.325763136088967,-1.0
-1.0,0.1590909090909091,-0.325763136088967,-1.0
-0.9998356884653303,0.16666666666666666,-0.335645907597035,-0.9997750959325625
-1.0,0.16666666666666666,-0.335645907597035,-1.0
-1.0,0.17424242424242425,-0.349933665712554,-1.0
-1.0,0.18181818181818182,-0.38224633908470096,-1.0
-1.0,0.1893939393939394,-0.39394059371004697,-1.0
-1.0,0.19696969696969696,-0.4057011159410759,-1.0
-0.9991784423266513,0.21212121212121213,-0.43118895204962293,-0.9988760234130372
-0.9991784423266513,0.21212121212121213,-0.43118895204962293,-0.9988760234130372
-1.0,0.2196969696969697,-0.44144537469728906,-1.0
-1.0,0.2196969696969697,-0.44144537469728906,-1.0
-1.0,0.2196969696969697,-0.44144537469728906,-1.0
-1.0,0.2196969696969697,-0.44144537469728906,-1.0
-1.0,0.2196969696969697,-0.44144537469728906,-1.0
-1.0,0.23484848484848486,-0.46937027822093685,-1.0
-1.0,0.23484848484848486,-0.46937027822093685,-1.0
-1.0,0.25,-0.4928644268671664,-1.0
-1.0,0.25,-0.4928644268671664,-1.0
-1.0,0.25757575757575757,-0.5049875135105147,-1.0
-1.0,0.26515151515151514,-0.5130172652806096,-1.0
-1.0,0.2727272727272727,-0.5286939119283315,-1.0
-1.0,0.2878787878787879,-0.5516901814255076,-1.0
-1.0,0.2878787878787879,-0.5516901814255076,-1.0
-1.0,0.2878787878787879,-0.5516901814255076,-1.0
-1.0,0.2878787878787879,-0.5516901814255076,-1.0
-1.0,0.29545454545454547,-0.563406928728624,-1.0
-1.0,0.30303030303030304,-0.5756216517466405,-1.0
-1.0,0.3181818181818182,-0.5993587289494816,-1.0
-1.0,0.32575757575757575,-0.6110763694187706,-1.0
-1.0,0.3333333333333333,-0.6225608032231854,-1.0
-1.0,0.3409090909090909,-0.6342052454997427,-1.0
-1.0,0.3560606060606061,-0.6581500591583898,-1.0
-1.0,0.3560606060606061,-0.6581500591583898,-1.0
-1.0,0.3560606060606061,-0.6581500591583898,-1.0
-1.0,0.3787878787878788,-0.6907307928794338,-1.0
-1.0,0.3787878787878788,-0.6907307928794338,-1.0
-1.0,0.4015151515151515,-0.7247673804913081,-1.0
-0.9991784423266513,0.4015151515151515,-0.7247673804913081,-0.9988760234130372
-1.0,0.4015151515151515,-0.7247673804913081,-1.0
-1.0,0.4015151515151515,-0.7247673804913081,-1.0
-1.0,0.4015151515151515,-0.7247673804913081,-1.0
-0.9991784423266513,0.4015151515151515,-0.7247673804913081,-0.9988760234130372
-1.0,0.4090909090909091,-0.734938399191404,-1.0
-1.0,0.42424242424242425,-0.7554587946304704,-1.0
-1.0,0.42424242424242425,-0.7554587946304704,-1.0
-0.9991784423266513,0.4318181818181818,-0.7661602779908397,-0.9988760234130372
-0.9991784423266513,0.4318181818181818,-0.7661602779908397,-0.9988760234130372
-1.0,0.4393939393939394,-0.7790924651338343,-1.0
-1.0,0.44696969696969696,-0.7880559065747208,-1.0
-1.0,0.45454545454545453,-0.7968282923737834,-1.0
-0.9991784423266513,0.45454545454545453,-0.7968282923737834,-0.9988760234130372
-0.9991784423266513,0.45454545454545453,-0.7968282923737834,-0.9988760234130372
-0.9991784423266513,0.4621212121212121,-0.8085766116280967,-0.9988760234130372
-0.9991784423266513,0.4621212121212121,-0.8085766116280967,-0.9988760234130372
-0.9991784423266513,0.4621212121212121,-0.8085766116280967,-0.9988760234130372
-0.9991784423266513,0.4621212121212121,-0.8085766116280967,-0.9988760234130372
-0.9991784423266513,0.5,-0.829153825268379,-0.9988760234130372
-1.0,0.5075757575757576,-0.8426116669602984,-1.0
-0.9991784423266513,0.5151515151515151,-0.8527823760460844,-0.9988760234130372
-0.9991784423266513,0.5151515151515151,-0.8527823760460844,-0.9988760234130372
-1.0,0.5151515151515151,-0.8527823760460844,-1.0
-0.9991784423266513,0.5151515151515151,-0.8527823760460844,-0.9988760234130372
-0.9996713769306605,0.16666666666666666,-0.3376433676123591,-0.9995502463231651
-1.0,0.16666666666666666,-0.33805343418916195,-1.0
-0.9986504120550428,0.42424242424242425,-0.7577843435815425,-0.9986504120550428
-0.9989359631686922,0.45454545454545453,-0.8011708529383711,-0.9988754796628128
-0.9995070653959908,0.4696969696969697,-0.8205046250625093,-0.9993254510887549
-0.9993858258170112,0.4772727272727273,-0.8311129713580298,-0.9993252877976877
-0.9990572027476716,0.16666666666666666,-0.3403906937105348,-0.9988757518145914
