"Generation","Time","cores","pause"
73,75.6106989383698,"2","0.01"
74,76.6745021343231,"2","0.01"
75,77.7162840366364,"2","0.01"
76,78.6462559700012,"2","0.01"
77,79.5897200107574,"2","0.01"
78,80.5270910263062,"2","0.01"
79,81.8228490352631,"2","0.01"
80,82.9350941181183,"2","0.01"
81,83.8222079277039,"2","0.01"
82,84.7054409980774,"2","0.01"
83,85.6219720840454,"2","0.01"
84,86.5703959465027,"2","0.01"
85,87.4545209407806,"2","0.01"
86,88.403519153595,"2","0.01"
87,89.2869350910187,"2","0.01"
88,90.0697810649872,"2","0.01"
89,90.8892590999603,"2","0.01"
90,91.689738035202,"2","0.01"
91,92.5764970779419,"2","0.01"
92,93.7354891300201,"2","0.01"
93,94.5822761058807,"2","0.01"
94,95.7287080287933,"2","0.01"
95,96.5728080272675,"2","0.01"
96,97.5216431617737,"2","0.01"
97,98.8840780258179,"2","0.01"
98,99.700590133667,"2","0.01"
99,100.568251132965,"2","0.01"
100,101.802844047546,"2","0.01"
1,15.9530649185181,"2","0.1"
2,21.5486419200897,"2","0.1"
3,26.4183630943298,"2","0.1"
4,31.1811759471893,"2","0.1"
5,35.5134320259094,"2","0.1"
6,40.497761964798,"2","0.1"
7,45.2647299766541,"2","0.1"
8,50.4608919620514,"2","0.1"
9,55.2902810573578,"2","0.1"
10,60.2396249771118,"2","0.1"
11,65.5807030200958,"2","0.1"
12,70.0850219726562,"2","0.1"
13,74.8753819465637,"2","0.1"
14,80.0596139431,"2","0.1"
15,84.5819370746613,"2","0.1"
16,89.5290200710297,"2","0.1"
17,94.2886259555817,"2","0.1"
18,99.2496070861816,"2","0.1"
19,103.692673921585,"2","0.1"
20,108.664338111877,"2","0.1"
21,113.54052400589,"2","0.1"
22,118.059937953949,"2","0.1"
23,123.125792980194,"2","0.1"
24,127.641268968582,"2","0.1"
25,132.878834009171,"2","0.1"
26,137.842324018478,"2","0.1"
27,142.517216920853,"2","0.1"
28,147.277777910233,"2","0.1"
29,152.09304690361,"2","0.1"
30,156.641442060471,"2","0.1"
31,161.589236021042,"2","0.1"
32,166.674024105072,"2","0.1"
33,171.233216047287,"2","0.1"
34,176.324069023132,"2","0.1"
35,180.840294122696,"2","0.1"
36,185.672913074493,"2","0.1"
37,190.640532970428,"2","0.1"
38,195.609101057053,"2","0.1"
39,200.758733034134,"2","0.1"
40,205.467188119888,"2","0.1"
41,210.640722990036,"2","0.1"
42,215.741230010986,"2","0.1"
43,220.271646976471,"2","0.1"
44,225.347265958786,"2","0.1"
45,229.95517206192,"2","0.1"
46,234.771990060806,"2","0.1"
47,239.814882993698,"2","0.1"
48,244.704092979431,"2","0.1"
49,249.174273967743,"2","0.1"
50,253.657190084457,"2","0.1"
51,258.537353038788,"2","0.1"
52,263.167895078659,"2","0.1"
53,267.870456933975,"2","0.1"
54,272.256474018097,"2","0.1"
55,277.317225933075,"2","0.1"
56,281.930597066879,"2","0.1"
57,286.755844116211,"2","0.1"
58,291.314209938049,"2","0.1"
59,295.832571029663,"2","0.1"
60,300.96710395813,"2","0.1"
61,305.469909906387,"2","0.1"
62,310.717297077179,"2","0.1"
63,315.379827022552,"2","0.1"
64,320.524688959122,"2","0.1"
65,325.593773126602,"2","0.1"
66,330.789422035217,"2","0.1"
67,335.112977981567,"2","0.1"
68,339.761191129684,"2","0.1"
69,344.62747502327,"2","0.1"
70,349.782886981964,"2","0.1"
71,354.202479124069,"2","0.1"
72,359.125283002853,"2","0.1"
73,363.87379693985,"2","0.1"
74,369.17466211319,"2","0.1"
75,374.284641027451,"2","0.1"
76,378.703582048416,"2","0.1"
77,383.479021072388,"2","0.1"
78,388.293158054352,"2","0.1"
79,392.924268960953,"2","0.1"
80,397.52712893486,"2","0.1"
81,401.749855041504,"2","0.1"
82,406.643316030502,"2","0.1"
83,411.776442050934,"2","0.1"
84,416.999274015427,"2","0.1"
85,421.548803091049,"2","0.1"
86,426.759669065475,"2","0.1"
87,431.77873301506,"2","0.1"
88,436.746539115906,"2","0.1"
89,441.425815105438,"2","0.1"
90,446.631160974503,"2","0.1"
91,451.470552921295,"2","0.1"
92,456.472868919373,"2","0.1"
93,461.409989118576,"2","0.1"
94,466.173310041428,"2","0.1"
95,471.316154956818,"2","0.1"
